Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
2773 /marketplaces/otcqx,10,564,339,2027,490.16,0.00%,4.9,275.62,57208.0
2774 /addyn/3.0/5303.1/3209808/0/16/ADTECH;loc=100;target=_blank;misc=%5BTIMESTAMP%5D;rdclick=%5BCLICKMACRO%5D,10,174,130,225,39.25,0.00%,6.2,5.59,931.0
2775 /addyn/3.0/5303.1/2799329/0/169/ADTECH;loc=100;target=_blank;key=key1+key2+key3+key4;grp=%5Bgroup%5D;misc=1431972379582,10,147,96,225,37.31,0.00%,6.2,15.06,2501.4
2777 /pixel;r=2046458017;a=p-B1ry_R3CQS6M9;fpan=0;fpa=P0-605369517-1431627681416;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1431972381901;tzo=240;ref=;url=http%3A%2F%2Fwww.otcmarkets.com%2Fmarketplaces%2Fotcqx;ogl=,10,128,99,192,30.71,0.00%,6.3,2.91,474.0
2778 /otciq/ajax/getAggregateWombatTradesForAllTierGroup.json,10,50,43,68,7.94,0.00%,6.9,13.00,1922.2
2781 /otciq/ajax/getMarketTotals.jsonx,10,56,41,111,19.80,0.00%,7.0,3.50,512.6
2776 /__utm.gif,10,148,108,216,35.19,0.00%,6.3,2.53,408.0
2782 /common/CountSecuritiesByTierGroup.json,10,76,43,224,51.41,0.00%,6.3,4.44,723.2
2779 /jump/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=972379130,10,559,373,1158,216.05,0.00%,3.7,3.72,1021.0
2780 /analytics/1431972600000/142654.js,10,344,129,827,202.39,0.00%,4.1,92.49,22938.0
2784 /gen_204,10,115,58,325,86.49,0.00%,4.6,1.73,388.0
2783 /content.otcmarkets.com/quote_search/list.gz,10,1490,824,2635,473.71,0.00%,3.3,1050.21,321656.0
2786 /ads/fif.jsp,10,121,39,212,62.42,0.00%,6.6,6.11,950.0
2787 /ads/fif.jsp,10,57,36,75,12.03,0.00%,7.4,6.86,950.0
2785 /ads/fif.jsp,10,65,35,89,18.51,0.00%,7.4,6.90,950.0
2788 /addyn%7C3.0%7C5303%7C2799310%7C0%7C170%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431972382609,10,650,571,728,48.68,0.00%,5.3,5.48,1049.0
